,state_id,area_type,age_group_of_head,marital_status,male,female
1637,18,Rural,70-79,Single,776,312
1638,18,Rural,80+,Single,400,105
1639,18,Rural,Age Not Stated,Single,490,82
1640,18,Urban,All Ages,Single,35269,8331
1641,18,Urban,Less than 20,Single,3206,1686
1642,18,Urban,20-29,Single,14333,1931
1643,18,Urban,30-39,Single,10817,1581
1644,18,Urban,40-49,Single,3796,1369
1645,18,Urban,50-59,Single,1691,984
1646,18,Urban,60-69,Single,795,554
1647,18,Urban,70-79,Single,335,165
1648,18,Urban,80+,Single,161,41
1649,18,Urban,Age Not Stated,Single,135,20
1650,19,Total,All Ages,Single,360838,96182
1651,19,Total,Less than 20,Single,55479,29977
1652,19,Total,20-29,Single,119183,9234
1653,19,Total,30-39,Single,72069,11433
1654,19,Total,40-49,Single,47284,16962
1655,19,Total,50-59,Single,31666,14933
1656,19,Total,60-69,Single,18293,8774
1657,19,Total,70-79,Single,8585,3125
1658,19,Total,80+,Single,3699,928
1659,19,Total,Age Not Stated,Single,4580,816
1660,19,Rural,All Ages,Single,203330,46545
1661,19,Rural,Less than 20,Single,36346,18684
1662,19,Rural,20-29,Single,78874,3938
1663,19,Rural,30-39,Single,39915,5634
1664,19,Rural,40-49,Single,22959,8143
1665,19,Rural,50-59,Single,13234,6117
1666,19,Rural,60-69,Single,6787,2813
1667,19,Rural,70-79,Single,2411,748
1668,19,Rural,80+,Single,1079,245
1669,19,Rural,Age Not Stated,Single,1725,223
1670,19,Urban,All Ages,Single,157508,49637
1671,19,Urban,Less than 20,Single,19133,11293
1672,19,Urban,20-29,Single,40309,5296
1673,19,Urban,30-39,Single,32154,5799
1674,19,Urban,40-49,Single,24325,8819
1675,19,Urban,50-59,Single,18432,8816
1676,19,Urban,60-69,Single,11506,5961
1677,19,Urban,70-79,Single,6174,2377
1678,19,Urban,80+,Single,2620,683
1679,19,Urban,Age Not Stated,Single,2855,593
1680,20,Total,All Ages,Single,125968,40676
1681,20,Total,Less than 20,Single,38784,21773
1682,20,Total,20-29,Single,47467,4368
1683,20,Total,30-39,Single,19062,3726
1684,20,Total,40-49,Single,9058,4190
1685,20,Total,50-59,Single,4706,3173
1686,20,Total,60-69,Single,2620,2402
1687,20,Total,70-79,Single,896,600
1688,20,Total,80+,Single,366,124
1689,20,Total,Age Not Stated,Single,3009,320
1690,20,Rural,All Ages,Single,87087,29704
1691,20,Rural,Less than 20,Single,29870,16865
1692,20,Rural,20-29,Single,31229,2432
1693,20,Rural,30-39,Single,12335,2460
1694,20,Rural,40-49,Single,6379,3137
1695,20,Rural,50-59,Single,3151,2320
1696,20,Rural,60-69,Single,1833,1831
1697,20,Rural,70-79,Single,567,417
1698,20,Rural,80+,Single,239,83
1699,20,Rural,Age Not Stated,Single,1484,159
1700,20,Urban,All Ages,Single,38881,10972
1701,20,Urban,Less than 20,Single,8914,4908
1702,20,Urban,20-29,Single,16238,1936
1703,20,Urban,30-39,Single,6727,1266
1704,20,Urban,40-49,Single,2679,1053
1705,20,Urban,50-59,Single,1555,853
1706,20,Urban,60-69,Single,787,571
1707,20,Urban,70-79,Single,329,183
1708,20,Urban,80+,Single,127,41
1709,20,Urban,Age Not Stated,Single,1525,161
1710,21,Total,All Ages,Single,196021,59211
1711,21,Total,Less than 20,Single,31680,14673
1712,21,Total,20-29,Single,90878,9989
1713,21,Total,30-39,Single,42437,11030
1714,21,Total,40-49,Single,14835,11791
1715,21,Total,50-59,Single,6714,6646
1716,21,Total,60-69,Single,3997,3472
1717,21,Total,70-79,Single,1563,896
1718,21,Total,80+,Single,772,225
1719,21,Total,Age Not Stated,Single,3145,489
1720,21,Rural,All Ages,Single,149441,46319
1721,21,Rural,Less than 20,Single,24858,11720
1722,21,Rural,20-29,Single,68451,6801
1723,21,Rural,30-39,Single,32041,8879
1724,21,Rural,40-49,Single,11550,9789
1725,21,Rural,50-59,Single,5078,5199
1726,21,Rural,60-69,Single,3148,2725
1727,21,Rural,70-79,Single,1230,678
1728,21,Rural,80+,Single,580,148
1729,21,Rural,Age Not Stated,Single,2505,380
1730,21,Urban,All Ages,Single,46580,12892
1731,21,Urban,Less than 20,Single,6822,2953
1732,21,Urban,20-29,Single,22427,3188
1733,21,Urban,30-39,Single,10396,2151
1734,21,Urban,40-49,Single,3285,2002
1735,21,Urban,50-59,Single,1636,1447
1736,21,Urban,60-69,Single,849,747
1737,21,Urban,70-79,Single,333,218
1738,21,Urban,80+,Single,192,77
1739,21,Urban,Age Not Stated,Single,640,109
1740,22,Total,All Ages,Single,98870,25935
1741,22,Total,Less than 20,Single,22658,11066
1742,22,Total,20-29,Single,51803,6034
1743,22,Total,30-39,Single,14051,3550
1744,22,Total,40-49,Single,5222,2678
1745,22,Total,50-59,Single,2340,1466
1746,22,Total,60-69,Single,1324,776
1747,22,Total,70-79,Single,525,215
1748,22,Total,80+,Single,277,61
1749,22,Total,Age Not Stated,Single,670,89
1750,22,Rural,All Ages,Single,67720,17988
1751,22,Rural,Less than 20,Single,18455,8983
1752,22,Rural,20-29,Single,34586,3688
1753,22,Rural,30-39,Single,8393,2239
1754,22,Rural,40-49,Single,3156,1690
1755,22,Rural,50-59,Single,1360,758
1756,22,Rural,60-69,Single,828,413
1757,22,Rural,70-79,Single,343,119
1758,22,Rural,80+,Single,178,33
1759,22,Rural,Age Not Stated,Single,421,65
1760,22,Urban,All Ages,Single,31150,7947
1761,22,Urban,Less than 20,Single,4203,2083
1762,22,Urban,20-29,Single,17217,2346
1763,22,Urban,30-39,Single,5658,1311
1764,22,Urban,40-49,Single,2066,988
1765,22,Urban,50-59,Single,980,708
1766,22,Urban,60-69,Single,496,363
1767,22,Urban,70-79,Single,182,96
1768,22,Urban,80+,Single,99,28
1769,22,Urban,Age Not Stated,Single,249,24
1770,23,Total,All Ages,Single,300854,44472
1771,23,Total,Less than 20,Single,53920,23782
1772,23,Total,20-29,Single,120929,7263
1773,23,Total,30-39,Single,51257,3980
1774,23,Total,40-49,Single,30688,3555
1775,23,Total,50-59,Single,18118,2775
1776,23,Total,60-69,Single,14174,1847
1777,23,Total,70-79,Single,7011,795
1778,23,Total,80+,Single,2936,280
1779,23,Total,Age Not Stated,Single,1821,195
1780,23,Rural,All Ages,Single,204773,24092
1781,23,Rural,Less than 20,Single,36838,15620
1782,23,Rural,20-29,Single,75438,2745
1783,23,Rural,30-39,Single,35648,1858
1784,23,Rural,40-49,Single,22819,1570
1785,23,Rural,50-59,Single,13753,1003
1786,23,Rural,60-69,Single,11378,739
1787,23,Rural,70-79,Single,5680,336
1788,23,Rural,80+,Single,2228,128
1789,23,Rural,Age Not Stated,Single,991,93
1790,23,Urban,All Ages,Single,96081,20380
1791,23,Urban,Less than 20,Single,17082,8162
1792,23,Urban,20-29,Single,45491,4518
1793,23,Urban,30-39,Single,15609,2122
1794,23,Urban,40-49,Single,7869,1985
1795,23,Urban,50-59,Single,4365,1772
1796,23,Urban,60-69,Single,2796,1108
1797,23,Urban,70-79,Single,1331,459
1798,23,Urban,80+,Single,708,152
1799,23,Urban,Age Not Stated,Single,830,102
1800,24,Total,All Ages,Single,278679,47871
1801,24,Total,Less than 20,Single,58360,23233
1802,24,Total,20-29,Single,114180,5309
1803,24,Total,30-39,Single,45067,3241
1804,24,Total,40-49,Single,28071,4503
1805,24,Total,50-59,Single,15448,4909
1806,24,Total,60-69,Single,8418,3854
1807,24,Total,70-79,Single,3416,1789
1808,24,Total,80+,Single,1665,594
1809,24,Total,Age Not Stated,Single,4054,439
1810,24,Rural,All Ages,Single,129852,22203
1811,24,Rural,Less than 20,Single,29191,13886
1812,24,Rural,20-29,Single,43433,2287
1813,24,Rural,30-39,Single,24609,1170
1814,24,Rural,40-49,Single,16103,1673
1815,24,Rural,50-59,Single,7967,1381
1816,24,Rural,60-69,Single,4286,994
1817,24,Rural,70-79,Single,1736,437
1818,24,Rural,80+,Single,790,163
1819,24,Rural,Age Not Stated,Single,1737,212
1820,24,Urban,All Ages,Single,148827,25668
1821,24,Urban,Less than 20,Single,29169,9347
1822,24,Urban,20-29,Single,70747,3022
1823,24,Urban,30-39,Single,20458,2071
1824,24,Urban,40-49,Single,11968,2830
1825,24,Urban,50-59,Single,7481,3528
1826,24,Urban,60-69,Single,4132,2860
1827,24,Urban,70-79,Single,1680,1352
1828,24,Urban,80+,Single,875,431
1829,24,Urban,Age Not Stated,Single,2317,227
1830,25,Total,All Ages,Single,8059,293
1831,25,Total,Less than 20,Single,1476,43
1832,25,Total,20-29,Single,5764,55
1833,25,Total,30-39,Single,591,30
1834,25,Total,40-49,Single,100,59
1835,25,Total,50-59,Single,41,44
1836,25,Total,60-69,Single,32,41
1837,25,Total,70-79,Single,12,15
1838,25,Total,80+,Single,8,3
1839,25,Total,Age Not Stated,Single,35,3
1840,25,Rural,All Ages,Single,608,59
1841,25,Rural,Less than 20,Single,99,12
1842,25,Rural,20-29,Single,430,10
1843,25,Rural,30-39,Single,55,9
1844,25,Rural,40-49,Single,12,10
1845,25,Rural,50-59,Single,4,9
1846,25,Rural,60-69,Single,3,6
1847,25,Rural,70-79,Single,1,0
1848,25,Rural,80+,Single,1,1
1849,25,Rural,Age Not Stated,Single,3,2
1850,25,Urban,All Ages,Single,7451,234
1851,25,Urban,Less than 20,Single,1377,31
1852,25,Urban,20-29,Single,5334,45
1853,25,Urban,30-39,Single,536,21
1854,25,Urban,40-49,Single,88,49
1855,25,Urban,50-59,Single,37,35
1856,25,Urban,60-69,Single,29,35
1857,25,Urban,70-79,Single,11,15
1858,25,Urban,80+,Single,7,2
1859,25,Urban,Age Not Stated,Single,32,1
1860,26,Total,All Ages,Single,6761,267
1861,26,Total,Less than 20,Single,1238,124
1862,26,Total,20-29,Single,4853,78
1863,26,Total,30-39,Single,516,23
1864,26,Total,40-49,Single,86,18
1865,26,Total,50-59,Single,33,15
1866,26,Total,60-69,Single,14,6
1867,26,Total,70-79,Single,4,3
1868,26,Total,80+,Single,5,0
1869,26,Total,Age Not Stated,Single,12,0
1870,26,Rural,All Ages,Single,2579,157
1871,26,Rural,Less than 20,Single,562,91
1872,26,Rural,20-29,Single,1789,37
1873,26,Rural,30-39,Single,163,10
1874,26,Rural,40-49,Single,29,8
1875,26,Rural,50-59,Single,15,7
1876,26,Rural,60-69,Single,10,3
1877,26,Rural,70-79,Single,2,1
1878,26,Rural,80+,Single,2,0
1879,26,Rural,Age Not Stated,Single,7,0
1880,26,Urban,All Ages,Single,4182,110
1881,26,Urban,Less than 20,Single,676,33
1882,26,Urban,20-29,Single,3064,41
1883,26,Urban,30-39,Single,353,13
1884,26,Urban,40-49,Single,57,10
1885,26,Urban,50-59,Single,18,8
1886,26,Urban,60-69,Single,4,3
1887,26,Urban,70-79,Single,2,2
1888,26,Urban,80+,Single,3,0
1889,26,Urban,Age Not Stated,Single,5,0
1890,27,Total,All Ages,Single,531381,133432
1891,27,Total,Less than 20,Single,100417,44165
1892,27,Total,20-29,Single,264270,25830
1893,27,Total,30-39,Single,72593,14872
1894,27,Total,40-49,Single,32999,15667
1895,27,Total,50-59,Single,20837,13912
1896,27,Total,60-69,Single,13416,10814
1897,27,Total,70-79,Single,6812,4935
1898,27,Total,80+,Single,3588,1553
1899,27,Total,Age Not Stated,Single,16449,1684
1900,27,Rural,All Ages,Single,185902,49368
1901,27,Rural,Less than 20,Single,49808,23869
1902,27,Rural,20-29,Single,81220,5556
1903,27,Rural,30-39,Single,21174,4228
1904,27,Rural,40-49,Single,10786,5377
1905,27,Rural,50-59,Single,6538,4184
1906,27,Rural,60-69,Single,5007,3507
1907,27,Rural,70-79,Single,2646,1473
1908,27,Rural,80+,Single,1418,412
1909,27,Rural,Age Not Stated,Single,7305,762
1910,27,Urban,All Ages,Single,345479,84064
1911,27,Urban,Less than 20,Single,50609,20296
1912,27,Urban,20-29,Single,183050,20274
1913,27,Urban,30-39,Single,51419,10644
1914,27,Urban,40-49,Single,22213,10290
1915,27,Urban,50-59,Single,14299,9728
1916,27,Urban,60-69,Single,8409,7307
1917,27,Urban,70-79,Single,4166,3462
1918,27,Urban,80+,Single,2170,1141
1919,27,Urban,Age Not Stated,Single,9144,922
1920,28,Total,All Ages,Single,229812,55306
1921,28,Total,Less than 20,Single,41459,18387
1922,28,Total,20-29,Single,92900,9404
1923,28,Total,30-39,Single,33979,6915
1924,28,Total,40-49,Single,16833,7100
1925,28,Total,50-59,Single,9644,5577
1926,28,Total,60-69,Single,7061,4435
1927,28,Total,70-79,Single,2966,1328
1928,28,Total,80+,Single,1503,399
1929,28,Total,Age Not Stated,Single,23467,1761
1930,28,Rural,All Ages,Single,114823,29579
1931,28,Rural,Less than 20,Single,22243,10289
1932,28,Rural,20-29,Single,44755,4255
1933,28,Rural,30-39,Single,15267,3835
1934,28,Rural,40-49,Single,8418,4126
1935,28,Rural,50-59,Single,5022,2971
1936,28,Rural,60-69,Single,4351,2437
1937,28,Rural,70-79,Single,1892,692
1938,28,Rural,80+,Single,791,181
1939,28,Rural,Age Not Stated,Single,12084,793
1940,28,Urban,All Ages,Single,114989,25727
1941,28,Urban,Less than 20,Single,19216,8098
1942,28,Urban,20-29,Single,48145,5149
1943,28,Urban,30-39,Single,18712,3080
1944,28,Urban,40-49,Single,8415,2974
1945,28,Urban,50-59,Single,4622,2606
1946,28,Urban,60-69,Single,2710,1998
1947,28,Urban,70-79,Single,1074,636
1948,28,Urban,80+,Single,712,218
1949,28,Urban,Age Not Stated,Single,11383,968
1950,29,Total,All Ages,Single,293270,80605
1951,29,Total,Less than 20,Single,37914,22395
1952,29,Total,20-29,Single,165314,20995
1953,29,Total,30-39,Single,52249,9554
1954,29,Total,40-49,Single,17073,9804
1955,29,Total,50-59,Single,9220,8179
1956,29,Total,60-69,Single,5718,6260
1957,29,Total,70-79,Single,2599,2510
1958,29,Total,80+,Single,1445,665
1959,29,Total,Age Not Stated,Single,1738,243
1960,29,Rural,All Ages,Single,104203,37366
1961,29,Rural,Less than 20,Single,20832,13443
1962,29,Rural,20-29,Single,48371,5396
1963,29,Rural,30-39,Single,17871,4195
1964,29,Rural,40-49,Single,7759,5496
1965,29,Rural,50-59,Single,4235,4233
1966,29,Rural,60-69,Single,2721,3104
1967,29,Rural,70-79,Single,1186,1090
1968,29,Rural,80+,Single,613,300
1969,29,Rural,Age Not Stated,Single,615,109
1970,29,Urban,All Ages,Single,189067,43239
1971,29,Urban,Less than 20,Single,17082,8952
1972,29,Urban,20-29,Single,116943,15599
1973,29,Urban,30-39,Single,34378,5359
1974,29,Urban,40-49,Single,9314,4308
1975,29,Urban,50-59,Single,4985,3946
1976,29,Urban,60-69,Single,2997,3156
1977,29,Urban,70-79,Single,1413,1420
1978,29,Urban,80+,Single,832,365
1979,29,Urban,Age Not Stated,Single,1123,134
1980,30,Total,All Ages,Single,12606,3540
1981,30,Total,Less than 20,Single,1232,598
1982,30,Total,20-29,Single,5564,539
1983,30,Total,30-39,Single,2597,391
1984,30,Total,40-49,Single,1317,445
1985,30,Total,50-59,Single,853,579
1986,30,Total,60-69,Single,557,562
1987,30,Total,70-79,Single,283,295
1988,30,Total,80+,Single,102,119
1989,30,Total,Age Not Stated,Single,101,12
1990,30,Rural,All Ages,Single,4175,1226
1991,30,Rural,Less than 20,Single,420,215
1992,30,Rural,20-29,Single,1659,179
1993,30,Rural,30-39,Single,975,132
1994,30,Rural,40-49,Single,465,168
1995,30,Rural,50-59,Single,294,186
1996,30,Rural,60-69,Single,198,182
1997,30,Rural,70-79,Single,89,110
1998,30,Rural,80+,Single,28,48
1999,30,Rural,Age Not Stated,Single,47,6
2000,30,Urban,All Ages,Single,8431,2314
2001,30,Urban,Less than 20,Single,812,383
2002,30,Urban,20-29,Single,3905,360
2003,30,Urban,30-39,Single,1622,259
2004,30,Urban,40-49,Single,852,277
2005,30,Urban,50-59,Single,559,393
2006,30,Urban,60-69,Single,359,380
2007,30,Urban,70-79,Single,194,185
2008,30,Urban,80+,Single,74,71
2009,30,Urban,Age Not Stated,Single,54,6
2010,31,Total,All Ages,Single,419,101
2011,31,Total,Less than 20,Single,64,54
2012,31,Total,20-29,Single,228,21
2013,31,Total,30-39,Single,104,8
2014,31,Total,40-49,Single,10,10
2015,31,Total,50-59,Single,9,4
2016,31,Total,60-69,Single,2,3
2017,31,Total,70-79,Single,0,1
2018,31,Total,80+,Single,0,0
2019,31,Total,Age Not Stated,Single,2,0
2020,31,Rural,All Ages,Single,89,13
2021,31,Rural,Less than 20,Single,15,7
2022,31,Rural,20-29,Single,50,4
2023,31,Rural,30-39,Single,20,1
2024,31,Rural,40-49,Single,4,1
2025,31,Rural,50-59,Single,0,0
2026,31,Rural,60-69,Single,0,0
2027,31,Rural,70-79,Single,0,0
2028,31,Rural,80+,Single,0,0
2029,31,Rural,Age Not Stated,Single,0,0
2030,31,Urban,All Ages,Single,330,88
2031,31,Urban,Less than 20,Single,49,47
2032,31,Urban,20-29,Single,178,17
2033,31,Urban,30-39,Single,84,7
2034,31,Urban,40-49,Single,6,9
2035,31,Urban,50-59,Single,9,4
2036,31,Urban,60-69,Single,2,3
2037,31,Urban,70-79,Single,0,1
2038,31,Urban,80+,Single,0,0
2039,31,Urban,Age Not Stated,Single,2,0
2040,32,Total,All Ages,Single,84385,53757
2041,32,Total,Less than 20,Single,10868,8248
2042,32,Total,20-29,Single,21513,1765
2043,32,Total,30-39,Single,17805,3171
2044,32,Total,40-49,Single,12638,8067
2045,32,Total,50-59,Single,9385,13655
2046,32,Total,60-69,Single,6547,11826
2047,32,Total,70-79,Single,3582,5224
2048,32,Total,80+,Single,1345,1608
2049,32,Total,Age Not Stated,Single,702,193
2050,32,Rural,All Ages,Single,42375,25390
2051,32,Rural,Less than 20,Single,5159,3819
2052,32,Rural,20-29,Single,10699,920
2053,32,Rural,30-39,Single,9696,1810
2054,32,Rural,40-49,Single,6333,4232
2055,32,Rural,50-59,Single,4616,6423
2056,32,Rural,60-69,Single,3163,5221
2057,32,Rural,70-79,Single,1683,2207
2058,32,Rural,80+,Single,669,649
2059,32,Rural,Age Not Stated,Single,357,109
2060,32,Urban,All Ages,Single,42010,28367
2061,32,Urban,Less than 20,Single,5709,4429
2062,32,Urban,20-29,Single,10814,845
2063,32,Urban,30-39,Single,8109,1361
2064,32,Urban,40-49,Single,6305,3835
2065,32,Urban,50-59,Single,4769,7232
2066,32,Urban,60-69,Single,3384,6605
2067,32,Urban,70-79,Single,1899,3017
2068,32,Urban,80+,Single,676,959
2069,32,Urban,Age Not Stated,Single,345,84
2070,33,Total,All Ages,Single,176460,52880
2071,33,Total,Less than 20,Single,16250,7959
2072,33,Total,20-29,Single,66952,7039
2073,33,Total,30-39,Single,39360,6271
2074,33,Total,40-49,Single,22480,9955
2075,33,Total,50-59,Single,14331,10701
2076,33,Total,60-69,Single,9111,7235
2077,33,Total,70-79,Single,4007,2679
2078,33,Total,80+,Single,1469,698
2079,33,Total,Age Not Stated,Single,2500,343
2080,33,Rural,All Ages,Single,73057,23045
2081,33,Rural,Less than 20,Single,7706,3722
2082,33,Rural,20-29,Single,26328,2582
2083,33,Rural,30-39,Single,16223,2936
2084,33,Rural,40-49,Single,9382,4911
2085,33,Rural,50-59,Single,5814,4665
2086,33,Rural,60-69,Single,4023,2871
2087,33,Rural,70-79,Single,1790,940
2088,33,Rural,80+,Single,635,255
2089,33,Rural,Age Not Stated,Single,1156,163
2090,33,Urban,All Ages,Single,103403,29835
2091,33,Urban,Less than 20,Single,8544,4237
2092,33,Urban,20-29,Single,40624,4457
2093,33,Urban,30-39,Single,23137,3335
2094,33,Urban,40-49,Single,13098,5044
2095,33,Urban,50-59,Single,8517,6036
2096,33,Urban,60-69,Single,5088,4364
2097,33,Urban,70-79,Single,2217,1739
2098,33,Urban,80+,Single,834,443
2099,33,Urban,Age Not Stated,Single,1344,180
2100,34,Total,All Ages,Single,3215,1501
2101,34,Total,Less than 20,Single,286,178
2102,34,Total,20-29,Single,1020,125
2103,34,Total,30-39,Single,720,181
2104,34,Total,40-49,Single,450,256
2105,34,Total,50-59,Single,339,311
2106,34,Total,60-69,Single,210,257
2107,34,Total,70-79,Single,113,161
2108,34,Total,80+,Single,48,31
2109,34,Total,Age Not Stated,Single,29,1
2110,34,Rural,All Ages,Single,734,231
2111,34,Rural,Less than 20,Single,94,40
2112,34,Rural,20-29,Single,282,34
2113,34,Rural,30-39,Single,169,42
2114,34,Rural,40-49,Single,74,39
2115,34,Rural,50-59,Single,57,36
2116,34,Rural,60-69,Single,27,21
2117,34,Rural,70-79,Single,12,17
2118,34,Rural,80+,Single,14,1
2119,34,Rural,Age Not Stated,Single,5,1
2120,34,Urban,All Ages,Single,2481,1270
2121,34,Urban,Less than 20,Single,192,138
2122,34,Urban,20-29,Single,738,91
2123,34,Urban,30-39,Single,551,139
2124,34,Urban,40-49,Single,376,217
2125,34,Urban,50-59,Single,282,275
2126,34,Urban,60-69,Single,183,236
2127,34,Urban,70-79,Single,101,144
2128,34,Urban,80+,Single,34,30
2129,34,Urban,Age Not Stated,Single,24,0
2130,35,Total,All Ages,Single,3969,670
2131,35,Total,Less than 20,Single,227,105
2132,35,Total,20-29,Single,1935,255
2133,35,Total,30-39,Single,1010,154
2134,35,Total,40-49,Single,436,80
2135,35,Total,50-59,Single,203,48
2136,35,Total,60-69,Single,108,19
2137,35,Total,70-79,Single,31,8
2138,35,Total,80+,Single,11,1
2139,35,Total,Age Not Stated,Single,8,0
2140,35,Rural,All Ages,Single,2594,440
2141,35,Rural,Less than 20,Single,142,67
2142,35,Rural,20-29,Single,1161,176
2143,35,Rural,30-39,Single,684,108
2144,35,Rural,40-49,Single,337,51
2145,35,Rural,50-59,Single,158,27
2146,35,Rural,60-69,Single,82,8
2147,35,Rural,70-79,Single,18,3
2148,35,Rural,80+,Single,9,0
2149,35,Rural,Age Not Stated,Single,3,0
2150,35,Urban,All Ages,Single,1375,230
2151,35,Urban,Less than 20,Single,85,38
2152,35,Urban,20-29,Single,774,79
2153,35,Urban,30-39,Single,326,46
2154,35,Urban,40-49,Single,99,29
2155,35,Urban,50-59,Single,45,21
2156,35,Urban,60-69,Single,26,11
2157,35,Urban,70-79,Single,13,5
2158,35,Urban,80+,Single,2,1
2159,35,Urban,Age Not Stated,Single,5,0
2160,0,Total,All Ages,Married,202043041,7938235
2161,0,Total,Less than 20,Married,676188,80554
2162,0,Total,20-29,Married,18608737,928023
2163,0,Total,30-39,Married,50384409,1997957
2164,0,Total,40-49,Married,55427415,2054341
2165,0,Total,50-59,Married,38902938,1320832
2166,0,Total,60-69,Married,25420616,974589
2167,0,Total,70-79,Married,9620665,407149
2168,0,Total,80+,Married,2472507,133280
2169,0,Total,Age Not Stated,Married,529566,41510
2170,0,Rural,All Ages,Married,137075805,5286206
2171,0,Rural,Less than 20,Married,494838,61879
2172,0,Rural,20-29,Married,13651630,691644
2173,0,Rural,30-39,Married,34332170,1383556
2174,0,Rural,40-49,Married,36745642,1339928
2175,0,Rural,50-59,Married,25257569,811361
2176,0,Rural,60-69,Married,17693252,626735
2177,0,Rural,70-79,Married,6799128,260931
2178,0,Rural,80+,Married,1766976,83871
2179,0,Rural,Age Not Stated,Married,334600,26301
2180,0,Urban,All Ages,Married,64967236,2652029
2181,0,Urban,Less than 20,Married,181350,18675
2182,0,Urban,20-29,Married,4957107,236379
2183,0,Urban,30-39,Married,16052239,614401
2184,0,Urban,40-49,Married,18681773,714413
2185,0,Urban,50-59,Married,13645369,509471
2186,0,Urban,60-69,Married,7727364,347854
2187,0,Urban,70-79,Married,2821537,146218
2188,0,Urban,80+,Married,705531,49409
2189,0,Urban,Age Not Stated,Married,194966,15209
2190,1,Total,All Ages,Married,1761989,62009
2191,1,Total,Less than 20,Married,5467,576
2192,1,Total,20-29,Married,128081,12011
2193,1,Total,30-39,Married,422733,20056
2194,1,Total,40-49,Married,499216,12917
2195,1,Total,50-59,Married,358662,6966
2196,1,Total,60-69,Married,221526,5111
2197,1,Total,70-79,Married,94625,2918
2198,1,Total,80+,Married,30760,1360
2199,1,Total,Age Not Stated,Married,919,94
2200,1,Rural,All Ages,Married,1297260,47336
2201,1,Rural,Less than 20,Married,4532,467
2202,1,Rural,20-29,Married,107958,10295
2203,1,Rural,30-39,Married,333152,16147
2204,1,Rural,40-49,Married,360003,9732
2205,1,Rural,50-59,Married,246919,4564
2206,1,Rural,60-69,Married,153386,3289
2207,1,Rural,70-79,Married,67216,1866
2208,1,Rural,80+,Married,23418,906
2209,1,Rural,Age Not Stated,Married,676,70
2210,1,Urban,All Ages,Married,464729,14673
2211,1,Urban,Less than 20,Married,935,109
2212,1,Urban,20-29,Married,20123,1716
2213,1,Urban,30-39,Married,89581,3909
2214,1,Urban,40-49,Married,139213,3185
2215,1,Urban,50-59,Married,111743,2402
2216,1,Urban,60-69,Married,68140,1822
2217,1,Urban,70-79,Married,27409,1052
2218,1,Urban,80+,Married,7342,454
2219,1,Urban,Age Not Stated,Married,243,24
2220,2,Total,All Ages,Married,1084739,94195
2221,2,Total,Less than 20,Married,1397,204
2222,2,Total,20-29,Married,47121,7346
2223,2,Total,30-39,Married,224734,30049
2224,2,Total,40-49,Married,302333,31635
2225,2,Total,50-59,Married,250752,14637
2226,2,Total,60-69,Married,159457,6010
2227,2,Total,70-79,Married,72004,2935
2228,2,Total,80+,Married,26014,1281
2229,2,Total,Age Not Stated,Married,927,98
2230,2,Rural,All Ages,Married,956652,84927
2231,2,Rural,Less than 20,Married,1174,179
2232,2,Rural,20-29,Married,38295,6489
2233,2,Rural,30-39,Married,194210,26936
2234,2,Rural,40-49,Married,264748,28912
2235,2,Rural,50-59,Married,221128,13163
2236,2,Rural,60-69,Married,145668,5347
2237,2,Rural,70-79,Married,66193,2636
2238,2,Rural,80+,Married,24422,1177
2239,2,Rural,Age Not Stated,Married,814,88
2240,2,Urban,All Ages,Married,128087,9268
2241,2,Urban,Less than 20,Married,223,25
2242,2,Urban,20-29,Married,8826,857
2243,2,Urban,30-39,Married,30524,3113
2244,2,Urban,40-49,Married,37585,2723
2245,2,Urban,50-59,Married,29624,1474
2246,2,Urban,60-69,Married,13789,663
2247,2,Urban,70-79,Married,5811,299
2248,2,Urban,80+,Married,1592,104
2249,2,Urban,Age Not Stated,Married,113,10
2250,3,Total,All Ages,Married,4308856,184445
2251,3,Total,Less than 20,Married,8988,843
2252,3,Total,20-29,Married,255592,14187
2253,3,Total,30-39,Married,896268,42610
2254,3,Total,40-49,Married,1204651,49911
2255,3,Total,50-59,Married,927046,31342
2256,3,Total,60-69,Married,669636,25469
2257,3,Total,70-79,Married,263538,13180
2258,3,Total,80+,Married,79249,6617
2259,3,Total,Age Not Stated,Married,3888,286
2260,3,Rural,All Ages,Married,2599012,122645
2261,3,Rural,Less than 20,Married,5282,545
2262,3,Rural,20-29,Married,139830,9593
2263,3,Rural,30-39,Married,517220,30293
2264,3,Rural,40-49,Married,718950,34274
2265,3,Rural,50-59,Married,538182,18812
2266,3,Rural,60-69,Married,438130,15828
2267,3,Rural,70-79,Married,181109,8424
2268,3,Rural,80+,Married,57651,4665
2269,3,Rural,Age Not Stated,Married,2658,211
2270,3,Urban,All Ages,Married,1709844,61800
2271,3,Urban,Less than 20,Married,3706,298
2272,3,Urban,20-29,Married,115762,4594
2273,3,Urban,30-39,Married,379048,12317
2274,3,Urban,40-49,Married,485701,15637
2275,3,Urban,50-59,Married,388864,12530
2276,3,Urban,60-69,Married,231506,9641
2277,3,Urban,70-79,Married,82429,4756
2278,3,Urban,80+,Married,21598,1952
2279,3,Urban,Age Not Stated,Married,1230,75
2280,4,Total,All Ages,Married,199587,5304
2281,4,Total,Less than 20,Married,339,19
2282,4,Total,20-29,Married,21603,481
2283,4,Total,30-39,Married,56308,1200
2284,4,Total,40-49,Married,55273,1630
